latitude,longitude,floorSize,url,price
40.601981,-74.1259,"2,133",https://www.zillow.com/homedetails/393-Gansevoort-Blvd-Staten-Island-NY-10314/32292458_zpid/,"$960,000"
40.7615,-73.971793,"3,576",https://www.zillow.com/homedetails/432-Park-Ave-APT-52C-New-York-NY-10022/219674316_zpid/,"$20,150,000"
40.892194,-73.842549,,https://www.zillow.com/homedetails/724-E-224th-St-2-Bronx-NY-10466/2079460184_zpid/,"$440,000"
40.565532,-74.151284,"2,248",https://www.zillow.com/homedetails/417-Corbin-Ave-Staten-Island-NY-10308/32341564_zpid/,"$899,000"
40.659336,-73.843743,"1,856",https://www.zillow.com/homedetails/16437-98th-St-Howard-Beach-NY-11414/2079462907_zpid/,"$965,000"
40.757292,-73.966591,515,https://www.zillow.com/homedetails/140-E-56th-St-APT-9-New-York-NY-10022/2079470623_zpid/,"$699,000"
40.86909,-73.887887,"4,841",https://www.zillow.com/homedetails/2851-Bainbridge-Ave-Bronx-NY-10458/112505137_zpid/,"$750,000"
40.746444,-73.97805,710,https://www.zillow.com/homedetails/166-E-35th-St-APT-10G-New-York-NY-10016/81776183_zpid/,"$729,999"
40.619628,-74.085271,900,https://www.zillow.com/homedetails/18-Laurel-Ave-Staten-Island-NY-10304/32285492_zpid/,"$339,000"
40.715133,-73.79269,,https://www.zillow.com/homedetails/8458-159th-St-Jamaica-NY-11432/2079474079_zpid/,"$1,150,000"
40.786404,-73.825479,"2,043",https://www.zillow.com/homedetails/14318-14th-Ave-Flushing-NY-11357/32023747_zpid/,"$1,260,000"
40.741298,-73.9944,"1,517",https://www.zillow.com/homedetails/655-6th-Ave-APT-5D-New-York-NY-10010/2097828279_zpid/,"$2,695,000"
40.745972,-73.854364,"2,640",https://www.zillow.com/homedetails/10847-49th-Ave-Flushing-NY-11368/31976263_zpid/,"$1,388,000"
40.768061,-73.956975,800,https://www.zillow.com/homedetails/360-E-72nd-St-APT-B211-New-York-NY-10021/81945062_zpid/,"$800,000"
40.604056,-74.171461,"1,889",https://www.zillow.com/homedetails/70-Dinsmore-St-B-Staten-Island-NY-10314/32310298_zpid/,"$475,000"
40.715561,-73.821843,"2,000",https://www.zillow.com/homedetails/13537-Coolidge-Ave-Jamaica-NY-11435/32068334_zpid/,"$1,290,000"
40.658625,-73.948273,"3,000",https://www.zillow.com/homedetails/426-Fenimore-St-Brooklyn-NY-11225/30657478_zpid/,"$1,299,999"
40.617705,-74.069612,"1,800",https://www.zillow.com/homedetails/54-Lynhurst-Ave-Staten-Island-NY-10305/32318509_zpid/,"$589,900"
40.69046,-73.850037,"3,300",https://www.zillow.com/homedetails/9302-90th-Ave-Woodhaven-NY-11421/68316235_zpid/,"$1,125,000"
40.756801,-73.8973,"1,080",https://www.zillow.com/homedetails/3146-70th-St-East-Elmhurst-NY-11370/2133728553_zpid/,"$829,999"
40.712228,-73.959975,536,https://www.zillow.com/homedetails/200-S-2nd-St-APT-3H-Brooklyn-NY-11211/94717191_zpid/,"$729,000"
40.738118,-73.743412,,https://www.zillow.com/homedetails/226-56-Kingsbury-Ave-UNIT-A-Oakland-Gardens-NY-11364/2079506212_zpid/,"$385,000"
40.576732,-73.972985,"1,200",https://www.zillow.com/homedetails/2942-W-5th-St-APT-9K-Brooklyn-NY-11224/245068467_zpid/,"$529,000"
40.608294,-73.996246,"1,596",https://www.zillow.com/homedetails/1937-81st-St-Brooklyn-NY-11214/30709151_zpid/,"$1,269,000"
40.8889,-73.9084,"1,500",https://www.zillow.com/homedetails/525-W-238th-St-APT-3A-Bronx-NY-10463/2113066132_zpid/,"$530,000"
40.766192,-73.832245,700,https://www.zillow.com/homedetails/25-12-Union-St-APT-6A-Flushing-NY-11354/123161636_zpid/,"$239,000"
40.888704,-73.912696,"1,850",https://www.zillow.com/homedetails/3850-Hudson-Manor-Ter-1E2E-Riverdale-NY-10463/2079509741_zpid/,"$645,000"
40.548607,-74.210475,"2,970",https://www.zillow.com/homedetails/56-Balsam-Pl-Staten-Island-NY-10309/32363919_zpid/,"$895,000"
40.72762,-73.85455,"1,400",https://www.zillow.com/homedetails/9972-66th-Rd-APT-1G-Rego-Park-NY-11374/245390627_zpid/,"$678,000"
40.825155,-73.897168,"2,687",https://www.zillow.com/homedetails/1067-Intervale-Ave-Bronx-NY-10459/83179204_zpid/,"$850,000"
40.544554,-74.170298,"1,998",https://www.zillow.com/homedetails/577-Wilson-Ave-Staten-Island-NY-10312/32356918_zpid/,"$640,000"
40.586711,-74.159909,"1,778",https://www.zillow.com/homedetails/15-Purdue-St-Staten-Island-NY-10314/32313192_zpid/,"$688,000"
40.681727,-73.926466,"2,752",https://www.zillow.com/homedetails/263-Bainbridge-St-A-Brooklyn-NY-11233/30606127_zpid/,"$1,875,750"
40.762122,-73.787478,550,https://www.zillow.com/homedetails/19522-39th-Ave-A-Flushing-NY-11358/245438615_zpid/,"$280,000"
40.617086,-73.962843,"2,010",https://www.zillow.com/homedetails/1125-Elm-Ave-Brooklyn-NY-11230/30725343_zpid/,"$1,289,000"
40.888599,-73.904074,"1,149",https://www.zillow.com/homedetails/445-W-240th-St-APT-4G-Bronx-NY-10463/29852354_zpid/,"$485,000"
40.707682,-73.876863,,https://www.zillow.com/homedetails/69-34-75th-St-Middle-Village-NY-11379/2079535088_zpid/,"$788,800"
40.786195,-73.85163,"2,895",https://www.zillow.com/homedetails/1234-116th-St-Flushing-NY-11356/32022807_zpid/,"$1,300,000"
40.540211,-74.162712,"1,925",https://www.zillow.com/homedetails/85-Lyndale-Ave-Staten-Island-NY-10312/143774898_zpid/,"$729,000"
40.69189,-73.759657,"1,616",https://www.zillow.com/homedetails/19033-117th-Rd-Jamaica-NY-11412/32193284_zpid/,"$225,000"
40.677039,-73.942724,"4,000",https://www.zillow.com/homedetails/1430-Pacific-St-Brooklyn-NY-11216/30591176_zpid/,"Est. $1,810,362"
40.503915,-74.243545,"1,600",https://www.zillow.com/homedetails/252-Brighton-St-Staten-Island-NY-10307/32375970_zpid/,"$619,000"
40.657491,-73.90694,"2,000",https://www.zillow.com/homedetails/504-Thatford-Ave-Brooklyn-NY-11212/30633593_zpid/,$--
40.813107,-73.857536,740,https://www.zillow.com/homedetails/1500-Harding-Park-Bronx-NY-10473/29790573_zpid/,"$325,000"
40.767768,-73.955544,981,https://www.zillow.com/homedetails/399-E-72nd-St-APT-16H-New-York-NY-10021/244870620_zpid/,"$899,000"
40.815369,-73.938485,284,https://www.zillow.com/homedetails/48-W-138th-St-APT-5D-New-York-NY-10037/122062977_zpid/,"$400,000"
40.766971,-73.954963,770,https://www.zillow.com/homedetails/422-E-72nd-St-APT-7B-New-York-NY-10021/31539013_zpid/,"$970,000"
40.826212,-73.893665,"2,500",https://www.zillow.com/homedetails/10459-Fox-St-Bronx-NY-10459/2097580779_zpid/,"$499,000"
40.7266,-73.996398,,https://www.zillow.com/homedetails/88-Bleecker-St-5EF-New-York-NY-10012/2079561584_zpid/,"$2,595,000"
40.589701,-73.806824,660,https://www.zillow.com/homedetails/260-Beach-81st-St-APT-6M-Rockaway-Beach-NY-11693/79739033_zpid/,"$263,000"
40.670267,-73.972323,"2,650",https://www.zillow.com/homedetails/35-Prospect-Park-W-APT-14C-Brooklyn-NY-11215/79722279_zpid/,"$3,495,000"
40.863972,-73.923012,"1,100",https://www.zillow.com/homedetails/571-Academy-St-APT-5F-New-York-NY-10034/31554240_zpid/,"$700,000"
40.747893,-73.892263,800,https://www.zillow.com/homedetails/3731-73rd-St-APT-7M-Jackson-Heights-NY-11372/72649036_zpid/,"$449,000"
40.766192,-73.832245,"114,151",https://www.zillow.com/homedetails/3815-149th-St-APT-5V-Flushing-NY-11354/245386529_zpid/,"$345,000"
40.7904,-73.974501,"2,550",https://www.zillow.com/homedetails/205-W-89th-St-6RS-New-York-NY-10024/2079581067_zpid/,"$4,500,000"
40.742905,-73.9974,,https://www.zillow.com/homedetails/210-W-21st-St-APT-6FW-New-York-NY-10011/82789896_zpid/,"$1,325,000"
40.611546,-73.933766,924,https://www.zillow.com/homedetails/1872-E-36th-St-Brooklyn-NY-11234/30784006_zpid/,$--
40.648152,-73.969932,"1,100",https://www.zillow.com/homedetails/25-Stratford-Rd-APT-C2-Brooklyn-NY-11218/245008341_zpid/,"$570,000"
40.648164,-74.084981,"1,086",https://www.zillow.com/homedetails/350-Richmond-Ter-APT-3V-Staten-Island-NY-10301/244597424_zpid/,"$325,000"
40.888174,-73.835473,"2,539",https://www.zillow.com/homedetails/3849-Amundson-Ave-Bronx-NY-10466/29834796_zpid/,"$899,000"
